"","no_anp","titulo","empresa_responsavel","demais_proponentes","qualificacao","objetivo","area","tema","subtema","empresa_petrolifera_executora","empresa_brasileira_executora","instituicao_executora","unidade_de_pesquisa_executora","n_autorizacao","data_inicio","prazo","valor_clausula","executor_1"
"1152","21197-9","Análise Estrutural de Dutos Flexíveis Sujeitos ao SCC-CO2","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver uma metodologia e disponibilizar uma ferramenta/software para cálculo de vida útil e teste de integridade dos dutos flexíveis suscetíveis ao SCC-CO2","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"11/02/2019",31,"R$ 2007402,13",NA
"1153","21198-7","Soluções Diverless para instalação e desinstalação de risers","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Eliminação/mitigação de mergulho em operações de interligação de risers à UEPs","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"20/02/2019",35,"R$ 22663,62",NA
"1154","21199-5","Infraestrutura para Simulações e Experimentos de Transferência de Calor em Estruturas de Flare no Laboratório de Termociências","PETROBRAS","PETROBRAS","INFRAESTRUTURA","Este projeto tem como principal objetivo a instalação de equipamentos para simulação computacional e montagem de uma bancada experimental a serem utilizados no desenvolvimento de um sistema de blindagem térmica para reparos poliméricos em estruturas de flare.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE EQUIPAMENTOS",NA,NA,"UFF","UFF - Laboratório de Termociências - LATERMO","0327/2019","28/08/2019",12,"R$ 372339,29","UFF"
"1155","21200-1","Ferramentas de Baixo Custo Computacional Para Análise Global de Risers","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Aprimorar as ferramentas computacionais disponíveis, que dão suporte às análises estruturais de risers e estruturas submarinas, aplicadas a projeto, verificação de integridade ou análises sob demanda destas estruturas em ambientes de lâmina d¿água ultraprofundas.  Estes aprimoramentos visam à redução do tempo de processamento aliada ao emprego de metodologias mais realistas e seguras destas ferramentas computacionais.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","RISERS, UMBILICAIS E DUTOS SUBMARINOS","PETROBRAS",NA,NA,NA,NA,"20/02/2019",35,"R$ 5980115,78",NA
"1156","21201-9","Desenvolvimento de Métodos Digitais em Meteo-Oceanografia","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver metodologias, critérios e ferramentas para consolidação de Especificações Técnicas Metoceans digitais","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","UNIDADES FLUTUANTES DE PRODUÇÃO, SISTEMAS DE ANCORAGEM E AMARRAÇÃO E POSICIONAMENTO DINÂMICO","PETROBRAS",NA,NA,NA,NA,"08/03/2019",48,"R$ 10268320,28",NA
"1157","21202-7","Integração de Ferramentas e Inteligência Artificial aplicada em Projeto Básico","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver infra-estrutura de dados e aplicações baseadas em inteligência artificial para reduzir o tempo de projeto básico Naval e estrutural","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","UNIDADES FLUTUANTES DE PRODUÇÃO, SISTEMAS DE ANCORAGEM E AMARRAÇÃO E POSICIONAMENTO DINÂMICO","PETROBRAS",NA,NA,NA,NA,"08/03/2019",42,"R$ 5420326,46",NA
"1158","21203-5","SÍSMICA 4D MARÍTIMA PERMANENTE COM RECEPTORES PONTUAIS","PETROBRAS","PETROBRAS","PROTÓTIPO OU UNIDADE PILOTO","ELEVAR O NÍVEL DE MATURIDADE TECNOLÓGICA DO SISTEMA DE MONITORAMENTO SÍSMICO PERMANENTE CONCEBIDO NO ÂMBITO DO PROJETO PT-169.01.13266 (""""MONITORAMENTO SÍSMICO PERMANENTE - NODES""""), DA CARTEIRA ARAR, ENCERRADO EM DEZEMBRO DE 2018, DO TRL-2 PARA O TRL-7,TORNANDO-O, NO MÍNIMO, SEMI-OPERACIONAL.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOFÍSICA DE RESERVATÓRIO","PETROBRAS",NA,NA,NA,NA,"22/03/2019",30,"R$ 1507597,84",NA
"1159","21204-3","Representação Multidimensional de Dados Geoquímicos e Arranjos computacionais para Desenvolvimento Livre","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O objetivo geral é pesquisar novas abordagens estatísticas classificatórias avaliados sobre a perspectiva do Machine Learning (Aprendizado de Máquina), subsequentemente, integrar e exibir os resultados dos dados geoquímicos corroborando às interpretações sobre sistemas petrolíferos e permitindo novas identificações de amostras de óleo, indício e gás que ajudem a superar os desafios presentes na exploração e produção de petróleo, obtendo, assim, diferencial tecnológico com consequentes benefícios","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE NOVOS ALGORITMOS",NA,NA,"PUC-Rio","PUC-Rio - LES - Laboratório de Engenharia de Software",NA,"14/05/2019",36,"R$ 7559216,01","PUC-Rio"
"1160","21205-0","Ampliação da Infraestrutura Laboratorial do LaMEFT para Viabilizar Estudos de Incrustação Carbonática","PETROBRAS","PETROBRAS","INFRAESTRUTURA","O objetivo desse projeto é propiciar infraestrutura adequada para execução do projeto de desenvolvimento experimental intitulado """"Estudo de Aspectos de Incrustação Carbonática em Sistemas Pressurizados"""". A necessidade deste projeto está baseada na criação de infraestrutura na universidade para que o projeto de pesquisa possa ser realizado em ambiente laboratorial controlado dentro da universidade.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","PERFURAÇÃO E COMPLETAÇÃO - TÉCNICAS E TECNOLOGIAS",NA,NA,"UFES","UFES - Núcleo de Termociências para a Indústria de Petróleo","0784/2019","17/12/2019",24,"R$ 3192994,22","UFES"
"1161","21206-8","MODELAGEM DE ZONA DE DANO DE FALHAS EM CARBONATOS","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver metodologia simples e direta para incorporar a região da zona de dano (delimitação da área mais fraturada e propriedades relacionadas) de falhas sísmicas/subsísmicas nos modelos de fratura de reservatórios carbonáticos.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOLOGIA DE RESERVATÓRIO","PETROBRAS",NA,NA,NA,NA,"21/03/2019",34,"R$ 2269488,96",NA
"1162","21207-6","Integração Digital do Comissionamento","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Modernizar a gestão do comissionamento nos empreendimentos pelo atingimento das seguintes metas: 1) desenvolver metodologia de interoperabilidade entre sistemas de gestão e controle com padronização dos registros históricos, métricas e indicadores; 2) promover a interação direta entre o ativo digital e o ativo físico na pré-operação & partida e 3) desenvolver métodos para incorporação de tecnologias digitais existentes com o objetivo de reduzir o H.H. exposto ao risco e a a `gestão com papel¿","TEMAS TRANSVERSAIS","AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE","METODOLOGIAS E SISTEMAS DE CONTROLE DA QUALIDADE","PETROBRAS",NA,NA,NA,NA,"27/03/2019",57,"R$ 2372400,00",NA
"1163","21208-4","Desenvolvimento e avaliação de desempenho de tintas anticorrosivas à base de zinco e nanomateriais de carbono","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Formular e avaliar o desempenho de tintas anticorrosivas pigmentadas com zinco que apresentem redução do teor de zinco pela aditivação com nanomateriais de carbono buscando grau de proteção anticorrosiva ao substrato metálico igual ou superior ao observado pelas tintas disponíveis no mercado, mas com redução do custo do produto e melhoria nas características mecânicas e eletroquímicas e durabilidade do revestimento.","TEMAS TRANSVERSAIS","MATERIAIS","CORROSÃO E PROTEÇÃO","PETROBRAS",NA,NA,NA,NA,"19/02/2019",42,"R$ 757683,07",NA
"1164","21209-2","Uso de informações Meteoceanográficas no Planejamento de PSVs","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Aumentar a robustez do processo de programação e planejamento de PSV's face a eventos externos, em especial condições meteoceanográficas.","TEMAS TRANSVERSAIS","DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE","LOGÍSTICA","PETROBRAS",NA,NA,NA,NA,"20/02/2019",30,"R$ 2822428,80",NA
"1165","21210-0","Projeto Conceitual e Básico de Unidade-Piloto para Ensaios de Despressurização e Vazamento de Correntes com Altos Teores de CO2","PETROBRAS","PETROBRAS","PROTÓTIPO OU UNIDADE PILOTO","Projeto de LOOP para fornecimento de misturas CO2 e CH4 a 500bar para realização de ensaios de despressurização, vazamentos e fornecimento de mistura a alta pressão para porjetos futuros de testes de válvulas, poços, teste de inibidores de corrosão, etc.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS","PETROBRAS",NA,NA,NA,NA,"12/03/2019",24,"R$ 1957697,28",NA
"1166","21211-8","PVT Digital","PETROBRAS","PETROBRAS","PESQUISA APLICADA","O cenário de contenção de custos atravessado pela empresa atualmente reduziu drasticamente a amostragem de fluidos para avaliação e valoração econômica de reservatórios. Muitas vezes, as únicas amostras disponíveis para estudo apresentam elevados teores de contaminação, tornando-as inadequadas para prosseguimento da maioria dos testes rigorosos em laboratório.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE NOVOS ALGORITMOS","PETROBRAS",NA,NA,NA,NA,"25/03/2019",24,"R$ 618539,32",NA
"1167","21212-6","Avaliação numérica e experimental da rugosidade em dutos flexíveis.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Aumentar o grau de conhecimento na estimativa da rugosidade em linhas flexíveis, culminando no desenvolvimento de modelo para determinação do fator de atrito em linhas flexíveis. Este modelo deve produzir resultados semelhantes ao conhecido diagrama de Moody, mas incorporar as características geométricas dos diversos tipos de carcaça intertravada.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","MÉTODOS E PROCESSOS DE ESCOAMENTO","PETROBRAS",NA,NA,NA,NA,"25/03/2019",48,"R$ 963339,26",NA
"1168","21213-4","Desenvolvimento de geomaterial para a modelagem de fluxo de fluidos","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Desenvolver geomaterial para simular a migração de hidrocarbonetos em modelos físicos de processos geológicos","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES","PETROBRAS",NA,NA,NA,NA,"27/03/2019",36,"R$ 346485,60",NA
"1169","21214-2","COMPUTAÇÃO QUÂNTICA EM GEOCIÊNCIAS","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Avaliar tecnicamente viabilidade de soluções de hardwares em computação quântica disponíveis para geociências.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS EM ESCALA DE RESERVATÓRIO","PETROBRAS",NA,NA,NA,NA,"28/03/2019",12,"R$ 453634,96",NA
"1170","21215-9","Augmented Analytics aplicada a indústria de O&G","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desbravar as possibilidades, propor e implementar soluções de Análise Aumentada (Augmented Analytics) à nossa indústria, com foco no E&P.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO","PETROBRAS",NA,NA,NA,NA,"05/04/2019",42,"R$ 278082,00",NA
"1171","21216-7","Investigação da influência da fluidodinâmica no processamento primário de petróleo","PETROBRAS","PETROBRAS","DESENVOLVIMENTO EXPERIMENTAL","Investigar ação deletéria da fluidodinâmica no processamento primário de petróleo e conceber formas de mitigação.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE NOVOS ALGORITMOS","PETROBRAS",NA,NA,NA,NA,"05/04/2019",36,"R$ 1501642,80",NA
"1172","21217-5","Sistema de Previsão Oceanográfica para Movimentos e Operações Navais","PETROBRAS","PETROBRAS","PESQUISA BÁSICA","Sistema de Previsão Oceanográfica para Movimentos e Operações Navais","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","UNIDADES FLUTUANTES DE PRODUÇÃO, SISTEMAS DE ANCORAGEM E AMARRAÇÃO E POSICIONAMENTO DINÂMICO","PETROBRAS",NA,NA,NA,NA,"31/03/2019",48,"R$ 8988988,58",NA
"1173","21218-3","Grafeno tridimensional sintetizado a partir poli (etileno tereftalato) ¿ PET","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Estabelecer o processo de síntese de um nanomaterial de carbono tridimensional constituído por folhas de grafeno modulado para aplicações específicas (por exemplo, nanoaditivos e membranas para filtros) a partir de poli (etileno tereftalato) - PET - oriundo da coleta seletiva de resíduos plásticos.","TEMAS TRANSVERSAIS","MATERIAIS","NANOMATERIAIS","PETROBRAS",NA,NA,NA,NA,"01/04/2019",40,"R$ 194583,60",NA
"1174","21219-1","Rota para Remoção de Hidrocarbonetos Dissolvidos em Água Produzida a ser Descartada em Ambiente Offshore","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Melhoria na eficiêcia da eficiência da separação de compostos dissolvidos na água produzida por meio de novas rotas tecnológicas.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GERENCIAMENTO DE ÁGUA PRODUZIDA","PETROBRAS",NA,NA,NA,NA,"02/04/2019",41,"R$ 4196851,20",NA
"1175","21220-9","Nanotecnologia para tratamento de Águas e Efluentes visando uso industrial","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Utilização de nanotecnologia para o estabelecimento de processos de maior eficiência em relação às tecnologias atualmente empregadas no tratamento de água e efluentes, com escalabilidade adequada e viabilidade técnico-econômica para futura implantação nas unidades da empresa","TEMAS TRANSVERSAIS","MATERIAIS","NANOMATERIAIS","PETROBRAS",NA,NA,NA,NA,"07/04/2019",60,"R$ 510485,18",NA
"1176","21221-7","Quantificação de emissões fugitivas a partir de imagens -METROLEAK","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Pesquisa e desenvolvimento sobre o uso de imagens no IR para quantificação metrológica de emissões fugitivas de compostos orgânicos voláteis em componentes de linhas de processo.","TEMAS TRANSVERSAIS","SEGURANÇA E MEIO AMBIENTE","EMISSÕES DE GASES DE EFEITO ESTUFA NA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS","PETROBRAS",NA,NA,NA,NA,"15/04/2019",26,"R$ 327880,80",NA
"1177","21222-5","Caracterização Sísmica Avançada com Imageamento de Difrações","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Investigar metodologias e algoritmos de imageamento e de análise avançada de dados sísmicos com riqueza azimutal com foco na separação dos campos de onda refletido e difratado, que permitam a recuperação de elementos estruturais e estratigráficos de alta resolução, buscando otimizar sua representação nos modelos numéricos de G&G dos reservatórios portadores de hidrocarbonetos da Petrobras.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOFÍSICA DE RESERVATÓRIO","PETROBRAS",NA,NA,NA,NA,"28/03/2019",37,"R$ 481123,57",NA
"1178","21223-3","Escoamento com dispersões de micro e nano partículas aplicadas a EOR e à entrega de químicos","SHELL","SHELL","PESQUISA APLICADA","O objetivo do projeto aqui proposto é a fabricação de dispersões complexas estáveis, o estudo de suas propriedades e o seu escoamento em meios porosos com foco no aumento do fator de recuperação e redução da produção de água.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","RECUPERAÇÃO AVANÇADA DE PETRÓLEO","RECUPERAÇÃO MELHORADA DE PETRÓLEO","SHELL",NA,"PUC-Rio","PUC-Rio - Laboratório de microhidrodinâmica e escoamento em meios porosos",NA,"01/04/2019",48,"R$ 24407303,18","PUC-Rio"
"1179","21225-8","Otimização do sistema de Elevação, Escoamento e GARESC em projetos de Desenvolvimento da Produção","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Este projeto visa oferecer uma ferramenta de apoio à decisão baseada em inteligência artificial para auxiliar engenheiros de elevação e escoamento a definir e dimensionar todo o sistema de produção no que diz respeito aos aspectos de Elevação, Escoamento e Garantia de Escoamento.
A avaliação automatizada de alternativas de sistema de produção na disciplina de EE concederá agilidade à equipe de projeto, pois permitirá avaliar uma quantidade maior de cenários em um menor tempo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","ENGENHARIA DE RESERVATÓRIO (SIMULAÇÃO DE FLUXO)",NA,NA,"PUC-Rio","PUC-Rio - Laboratório de Inteligência Computacional Aplicada - ICA",NA,"14/05/2019",24,"R$ 2404198,60","PUC-Rio"
"1180","21226-6","Completação Inteligente Elétrica (e-IC) - Fase 2","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Viabilizar solução de completação inteligente em três ou mais zonas com completação inferior separada em poço aberto, favorecendo redução expressiva de CAPEX e de OPEX/ABEX no longo prazo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","EQUIPAMENTOS DE POÇO E SUBMARINO","PETROBRAS",NA,NA,NA,NA,"22/04/2019",60,"R$ 1634375,21",NA
"1181","21227-4","Gerenciamento inteligente de dados para minimização de NPTs em cenários de perda de circulação.","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Disponibilização de metodologias, estratégias e soluções tecnológicas para minimizar e mitigar os tempos improdutivos gerados na perfuração de poços em cenários de perda de circulação.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","ENGENHARIA DE POÇO","PERFURAÇÃO E COMPLETAÇÃO - TÉCNICAS E TECNOLOGIAS","PETROBRAS",NA,NA,NA,NA,"28/03/2019",60,"R$ 4042700,63",NA
"1182","21228-2","MODELAGEM DA SATURAÇÃO DE ÁGUA EM RESERVATÓRIO (DIGITAL ROCK-NAMOR)","REPSOL","REPSOL","PESQUISA APLICADA","Objetivo principal: Melhorar a descrição de reservatórios usando dados disponíveis. Objetivos secundários: 1) Automatizar e melhorar etapas do método convencional de modelagem da saturação de água usando pressão capilar; 2) Desenvolver método alternativo para predição da saturação de água em reservatórios usando todos os dados disponíveis.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE NOVOS ALGORITMOS","REPSOL","OPTIMATECH LTDA",NA,NA,NA,"28/03/2019",16,"R$ 932825,62",NA
"1183","21229-0","Vellox-GOLD: Tipologia de Fluidos em Tempo Real (Desenvolvimento de sistema avançado de aquisição, detecção, análise e transmissão em tempo real de cromatografia gasosa durante a fase de perfuração de poços).","REPSOL","REPSOL","PROTÓTIPO OU UNIDADE PILOTO","A extração de gas do fluido de perfuração e sua análise durante a perfuração é uma fonte indispensável de informações, servindo para melhorar a segurança operacional e a avaliação do reservatório em tempo real. O degaseificador de volume constante (Vellox GOLD) é um sistema  extrair gás em volume constante, independentemente da vazão do fluido.  Baseia-se na sucção do volume de lama por minuto e o gás é distribuído com fluxo constantes para diferente detectores e cromatográfica.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","DESENVOLVIMENTO DE EQUIPAMENTOS","REPSOL","GEOWELLEX DO BRASIL SERVICOS PETROLIFEROS LTDA  - ME",NA,NA,NA,"26/03/2019",36,"R$ 13417402,00",NA
"1184","21230-8","Tecnologia de Rocha Digital e Inteligência Computacional para o Estudo, Análise de Sensibilidade e Classificação do Perfil de Impedância às Variações de Porosidade em Reservatórios Carbonáticos (DIGITAL ROCK-ROCKTECH)","REPSOL","REPSOL","PESQUISA APLICADA","Neste projeto será desenvolvido uma metodologia para a estimativa do perfil de impedância digital a fim de categorizar os resultados do perfil de impedância convencional de poços do Pré-sal brasileiro. O objetivo é caracterizar as variações de porosidade ao longo dos intervalos e identificar as regiões que de fato são reservatórios, de forma a auxiliar o intérprete a entender os parâmetros e as características da rocha que influenciam as variações de impedância ao longo do poço.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","PETROFÍSICA, PERFILAGEM DE POÇOS E AVALIAÇÃO DE FORMAÇÕES","REPSOL","PETREC - PETROLEO TECNOLOGIA E PESQUISA LTDA - ME",NA,NA,NA,"26/03/2019",24,"R$ 3064858,56",NA
"1185","21231-6","Desenvolvimento de ferramenta de predição de propriedades estática de rocha com base da aplicação de técnicas de Machine Learning na integração de dados sísmicos e de poços (DIGITAL ROCK-MACHLEE)","REPSOL","REPSOL","PESQUISA APLICADA","Desenvolvimento de uma nova ferramenta de integração entre dados sísmicos e de poços que disponibilize a crescente base de algoritmos de Machine Learning para a predição e propagação em 3D de propriedades estáticas (e.g. porosidade, facies, VShale, etc.) de forma que a parametrização seja definida com base na qualidade, quantidade e distribuição dos dados disponíveis e que o geocientista seja guiado ao longo do processo para selecionar os algoritmos mais adequados para o caso em estudo.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS","TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS EM ESCALA DE RESERVATÓRIO","REPSOL","KOGNITUS TECNOLOGIA, CONSULTORIA E SERVICOS LTDA.",NA,NA,NA,"28/03/2019",24,"R$ 3388200,00",NA
"1186","21232-4","Estudos numéricos e experimentais de processos de fechamento de poços na etapa de Descomissionamento (DECOM-NESS)","REPSOL","REPSOL","PESQUISA APLICADA","O presente projeto pretende avaliar através de estudos numéricos e experimentais os mecanismos de fluência relacionados ao fechamento de poço, para seu descomissionamento.","EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE","EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS","GEOMECÂNICA/ESTABILIZAÇÃO DE POÇOS","REPSOL",NA,"PUC-Rio","PUC-Rio - Grupo de GeoAnálise",NA,"26/03/2019",24,"R$ 3647351,60","PUC-Rio"
"1187","21233-2","Poliuretano nanoestruturado para Pigs de serviço e inspeção de dutos","PETROBRAS","PETROBRAS","PESQUISA APLICADA","Desenvolver tecnologias que permitam a produção de compósitos de alto desempenho a base de poliuretanos e nanomateriais de carbono para fabricação de PIGs, através de impressão 3D, com geometrias e propriedades mecânicas adequadas às necessidades da Petrobras","TEMAS TRANSVERSAIS","MATERIAIS","NANOMATERIAIS","PETROBRAS",NA,NA,NA,NA,"29/04/2019",48,"R$ 824167,76",NA
