Nº ANP;TITULO;EMPRESA RESPONSÁVEL;DEMAIS PROPONENTES;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;EXECUTOR 6;EXECUTOR 7;EXECUTOR 8;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO;VALOR CLAUSULA
21026-0;Projeto de infraestrutura para estudo sobre a Avaliação de Nanopartículas Superparamagnéticas como Geradoras de Calor para Aplicações em Garantia de Escoamento (FLOW-NUTS_Infra);REPSOL;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;O presente projeto de infraestrutura tem como objetivo a compra dos equipamentos necessários para a realização de um projeto que visa verificar como alguns parâmetros experimentais, tais como: concentração, distribuição e tamanho de nanopartículas, frequência e intensidade do campo magnético, tipo de petróleo, tipo de carreador, afetam o desempenho do aquecimento das nanopartículas quando misturadas em petróleo, sob um campo magnético alternado.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;MÉTODOS E PROCESSOS DE ESCOAMENTO;UNICAMP - Centro de Estudos de Petróleo - CEPETRO;;;;;;;;0140/2019;14/05/2019;12; R$ 774,897.95 
21011-2;Implantação de infraestrutura para o estudo de injeção de emulsão como método de controle de mobilidade para aumento da recuperação de óleo e redução da produção de água (SWEEP-EMOJI_Infra).;REPSOL;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Implantação de infraestrutura para  investigar a estabilização de emulsões óleo-em-água usando nanopartículas dispersas na fase aquosa e/ou surfactantes naturais dissolvidos na fase oleosa e analisar o escoamento destas emulsões em meios porosos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;RECUPERAÇÃO MELHORADA DE PETRÓLEO;PUC-Rio - Laboratório de microhidrodinâmica e escoamento em meios porosos;;;;;;;;0089/2019;28/02/2019;18; R$ 775,814.10 
21454-4;Desenvolvimento de metodologias de IBR para sistemas submarinos de produção de petróleo e gás;QUEIROZ GALVÃO;;PESQUISA APLICADA;Rever os métodos de IBR de equipamentos submarinos e desenvolver metodologia adequada às limitações das técnicas de inspeção disponíveis. A metodologia desenvolvida será incorporada à uma ferramenta computacional para análise de IBR e irá gerar modelos de análise logística por eventos discretos capaz de permitir a otimização da frota de navios de apoio.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;UFRJ - Laboratório de Tecnologia Submarina - LTS;;;;;;;;;04/06/2019;24; R$ 1,967,438.57 
21456-9;ToT: Verificação Digital de Databooks;PETROBRAS;;PESQUISA APLICADA;Esta proposta visa o estudo e o desenvolvimento de software inteligente para avaliação de Databooks de fabricação e construção e montagem. De forma mais precisa, apresenta-se a proposta através de três linhas mestras, as quais agregam os sistemas que resultarão nos três entregáveis, objetivos deste trabalho, e descritos a seguir.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;MONITORAMENTO E CONTROLE DE INSTALAÇÕES ONSHORE E OFFSHORE;FURG - Núcleo de Automação e Robótica Inteligente (NAUTEC) - Centro de Ciências Computacionais;;;;;;;;;26/08/2019;48; R$ 3,317,324.93 
21457-7;Soldabilidade de Componentes Metálicos produzidos por Manufatura Aditiva;PETROBRAS;;PESQUISA APLICADA;O objetivo geral do projeto é avaliar a soldabilidade de peças metálicas (componentes de tubulação, flanges e curvas), confeccionadas por Manufatura Aditiva (MA) e utilizadas no Setor de Óleo, Gás e Biocombustíveis, por meio de ensaios mecânicos e técnicas de análise microestrutural, contribuindo para a Transformação Digital do setor.;TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;UFU - Laprosolda - Grupo Centro para Pesquisa e Desenvolvimento de Processos de Soldagem;;;;;;;;;28/08/2019;48; R$ 6,412,588.15 
21458-5;"Aplicabilidade da Manufatura Aditiva por Soldagem a Arco (MASA) para Fabricação de Componentes Metálicos de Simples, Média e Alta
Complexidade utilizados no Setor de Óleo, Gás e Biocombustíveis";PETROBRAS;;PESQUISA APLICADA;"O objetivo geral do projeto é realizar Manufatura Aditiva por meio da Soldagem a Arco (MASA) de ""peças únicas"" ou críticas (de difícil aquisição e/ou prazo de entrega longo) empregadas no Setor de Óleo, Gás e Biocombustíveis, utilizando-se os processos TIG e/ou MIG/ MAG e procurando-se reduzir ao máximo a necessidade de operações fabris subsequentes (manufatura subtrativa).";TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;UFU - Laprosolda - Grupo Centro para Pesquisa e Desenvolvimento de Processos de Soldagem;;;;;;;;;05/08/2019;39; R$ 4,977,067.72 
21459-3;Fabricação Digital de Spare Parts aplicada à Indústria de óleo e gás - Spare Parts 3D;PETROBRAS;;PESQUISA APLICADA;Definir itens que serão fabricados, comparar itens produzidos digitalmente e convencionalmente, estabelecer roteiro de fabricação otimizado para as peças selecionadas e estabelecer requisitos gerais para a fabricação e controle de qualidade de spare parts produzidas por MA para a indústria de óleo e gás.;TEMAS TRANSVERSAIS;MATERIAIS;TECNOLOGIA DE MATERIAIS;PUC-Rio - Instituto Tecnológico da PUC-Rio - ITUC;;;;;;;;;28/08/2019;24; R$ 6,618,760.99 
21460-1;Desenvolvimento e Caracterização de Sistemas Nano e Microemulsionados para Aplicação como Método de Recuperação Avançada em Campos Maduros de Óleo Pesado da Bacia Potiguar;PETROBRAS;;PESQUISA APLICADA;O objetivo geral do projeto é desenvolver e caracterizar sistemas nano e microemulsionados visando a sua aplicação como método de Recuperação Avançada em Campos maduros de óleos pesados da Bacia Potiguar.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;MÉTODOS E PROCESSOS DE ESCOAMENTO;UFRN - Laboratório de Estudos Avançados em Petróleo - LEAP;;;;;;;;;20/08/2019;36; R$ 1,878,413.88 
21199-5;Infraestrutura para Simulações e Experimentos de Transferência de Calor em Estruturas de Flare no Laboratório de Termociências;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Este projeto tem como principal objetivo a instalação de equipamentos para simulação computacional e montagem de uma bancada experimental a serem utilizados no desenvolvimento de um sistema de blindagem térmica para reparos poliméricos em estruturas de flare.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;UFF - Laboratório de Termociências - LATERMO;;;;;;;;0327/2019;28/08/2019;12; R$ 372,339.29 
21461-9;Projeto Ressurgência III- Acoplamento Físico-Biogeoquímico em sistemas de borda oeste: modelagem de fácies orgânica regional multidimensional.;PETROBRAS;;PESQUISA APLICADA;Essa atual proposta tem como objetivo geral aplicar esse conhecimento empírico obtido nas fases I e II do Projeto Ressurgência, para elaborar um modelo de fácies orgânica regional multidimensional (0-3D) que seja capaz de predizer o conteúdo e, potencialmente, a qualidade da matéria orgânica depositada regionalmente, através da produção de um software de modelagem preditiva 0-3D.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;MONITORAMENTO DE ÁREAS IMPACTADAS POR ATIVIDADES DA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;UFF - LOOP-Laboratório de Oceanografia Operacional e Paleoceanografia;;;;;;;;;23/08/2019;36; R$ 4,861,736.45 
21462-7;DETECÇÃO DE NORM EM SISTEMAS SUBMARINOS;PETROBRAS;;PESQUISA APLICADA;"Os objetivos do projeto são: o desenvolvimento de ferramenta computacional analítica para auxiliar no processo de decisão no momento do descomissionamento de sistemas submarinos de produção, avaliando à possível existência ou não de material radioativo; e disponibilização de um protótipo de ferramenta com sistema de detecção de radiação capaz de realizar medidas submarinas para efetuar a confirmação da atividade radioativa, com leitura da atividade e de dose.";TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;UFRJ - LIN - Laboratório de Instrumentação Nuclear;;;;;;;;;22/08/2019;24; R$ 2,070,521.82 
21463-5;Análise de métodos de SHM por ondas guiadas para dutos;PETROBRAS;;PESQUISA APLICADA;O objetivo geral deste projeto é avaliar diferentes metodologias de Structural Health Monitoring (SHM), ou monitoramento de integridade estrutural.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;MONITORAMENTO E CONTROLE DE INSTALAÇÕES ONSHORE E OFFSHORE;UFRGS -  LAMEF - LABORATÓRIO DE METALURGIA FÍSICA;;;;;;;;;13/08/2019;36; R$ 4,409,485.17 
21464-3;Evolução da Distribuição do Tamanho de Gotas de Emulsões na Linha de Produção;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;"O objetivo do projeto é avaliar a Distribuição do Tamanho de Gota - DTG de escoamentos de petróleo, durante o processo de produção, desde o poco até o vaso separador, valendo-se de analises teóricas e experimentais através de escoamento de fluidos-modelo em escala laboratorial, mas mantendo a similaridade hidrodinâmica da emulsão.
Dessa forma, estudar os processos de ""quebra"" de gotas de forma abrangente e propor soluções para preservar a DTG original de um determinado poco produtor.";GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;PROCESSAMENTO EMBARCADO;UFES - Núcleo de Estudos em Escoamento e Medição de Óleo e Gás - NEMOG;;;;;;;;;22/08/2019;36; R$ 4,218,433.49 
21176-3;Aquisição de equipamentos para o desenvolvimento da pesquisa científica e formação de Recursos Humanos no âmbito da Comissão Interministerial para os Recursos do Mar (CIRM);PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;O projeto tem por objetivo principal a aquisição de equipamentos  a fim de possibilitar a continuidade das atividades de P&D e a formação de recursos humanos no âmbito da Comissão Interministerial para os Recursos do Mar (CIRM), por meio de diversas Ações e Programas sob sua coordenação e gerência.;TEMAS TRANSVERSAIS;DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE;LOGÍSTICA;SECIRM - Secretaria da Comissão Interministerial para os Recursos do Mar;;;;;;;;0429/2019;05/08/2019;60; R$ 20,337,384.09 
21465-0;Apoio logístico à pesquisa científica no âmbito da Comissão Interministerial para os Recursos do Mar (CIRM);PETROBRAS;;PESQUISA APLICADA;O projeto tem por objetivo principal possibilitar a continuidade das atividades de apoio logístico às pesquisas científicas desenvolvidas no âmbito da CIRM, por meio de diversas Ações e Programas sob sua coordenação e gerência.;TEMAS TRANSVERSAIS;DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE;LOGÍSTICA;SECIRM - Secretaria da Comissão Interministerial para os Recursos do Mar;;;;;;;;;05/08/2019;60; R$ 383,455,664.52 
21466-8;Análise Teórico-Numérica e Experimental da Transferência de Calor em Estruturas de Flare;PETROBRAS;;PESQUISA APLICADA;O projeto proposto tem como finalidade o desenvolvimento de um dispositivo de blindagem térmica para reparos com compósitos poliméricos em estruturas de flare. Para isso, se faz necessária a investigação da transferência de calor conjugada condução-radiação na estrutura e blindagem proposta, além de analisar a convecção de calor na superfície da estrutura e blindagem, assim como a análise estrutural do dispositivo de blindagem.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;UFF - Laboratório de Termociências - LATERMO;;;;;;;;;28/08/2019;24; R$ 1,888,261.85 
21467-6;Modelo Digital 3D da Gruta Cristal I, Morro do Chapéu-Bahia (CristalDOM);PETROBRAS;;PESQUISA APLICADA;O objetivo principal do projeto é elaborar um modelo digital 3D da Gruta Cristal I, Morro do Chapéu, Bahia, povoado com propriedades geológicas e petrofísicas. Com este modelo pretende-se definir critérios que permitam discriminar e fazer previsões sobre o comportamento, como selo ou como corredores de fluxo, de unidades ou estruturas em reservatórios carbonáticos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;UFRN - SISTEMAS PETROLÍFEROS;;;;;;;;;26/08/2019;36; R$ 4,305,131.39 
21468-4;Inversão multiparamétrica para caracterização de reservatórios usando técnicas de Física Estatística;PETROBRAS;;PESQUISA APLICADA;O objetivo geral deste projeto é conduzir a inversão geofísica baseada em métodos de Física Estatística, implementar inversão para multi-parâmetros simultaneamente e obter resultados de inversão robustos e estáveis que representem de forma confiável a geofísica do reservatório.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;UFRN - DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL;;;;;;;;;03/09/2019;36; R$ 4,399,440.11 
21469-2;Técnicas não destrutivas para aumento da produtividade de testes de cabos elétricos.;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Avaliar as técnicas não degenerativas atualmente utilizadas para diagnóstico de falhas em cabos elétricos que apresentem maior potencial para substituir os testes de resistência de isolamento, tensão aplicada (degenerativa) e continuidade realizados durante a etapa de construção, montagem e comissionamento de cabos elétricos de baixa e média tensão com desenvolvimento e teste em campo de um protótipo de equipamento utilizando as técnicas definidas no projeto.;GÁS NATURAL;UTILIZAÇÃO;APLICAÇÕES INDUSTRIAIS, COMERCIAIS, RESIDENCIAIS E AUTOMOTIVAS;UNIFEI - Instituto de Sistemas Elétricos e Energia - ISEE;;;;;;;;;09/08/2019;30; R$ 3,860,634.20 
21470-0;Estudo do efeito da acidez na qualidade dos petróleos e emulsões água-em-óleo na etapa do processamento primário.;PETROBRAS;;PESQUISA APLICADA;Estudo do efeito da acidez na qualidade dos petróleos e emulsões água-em-óleo na etapa do processamento primário.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS;UFES - LabPetro;;;;;;;;;30/08/2019;36; R$ 2,793,937.39 
21471-8;Análise reológica de formação  e inibição de hidratos de gás;PETROBRAS;;PESQUISA APLICADA;Estudar por meio de uma abordagem reológica e por visualização  o processo de formação e inibição de hidratos de gás em diferentes tipos de petróleo e blends, computando com precisão o consumo de gás durante a formação de hidrato.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;UFES - Núcleo de Termociências para a Indústria de Petróleo;;;;;;;;;30/08/2019;24; R$ 1,099,844.43 
20938-7;Desenvolvimento de abordagem sistemática para caracterização de emulsões (INFRAESTRUTURA);PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;Aquisição de material permanente para execução das atividades previstas no plano de trabalho homônimo referente ao processo 2018/00156-4.;ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;SENAI-RJ - INSTITUTO SENAI DE INOVAÇÃO EM QUÍMICA VERDE ;;;;;;;;0015/2019;23/08/2019;18; R$ 3,558,294.60 
21472-6;Avaliação do desempenho de tintas isolantes térmicas;PETROBRAS;;PESQUISA APLICADA;Como muitas plantas ainda não estão familiarizadas com os revestimentos térmicos isolantes e não se tem avaliado na literatura as propriedades anticorrosivas desses revestimentos, objetiva-se aqui, estudar alguns desses revestimentos tanto no que tange a suas propriedades térmicas quanto suas propriedades anticorrosivas, já que estes revestimentos ficam expostos, muitas vezes, a ambientes corrosivos.;TEMAS TRANSVERSAIS;MATERIAIS;CORROSÃO E PROTEÇÃO;UFRJ - LNDC - Laboratório de Ensaios Não Destrutivos, Corrosão e Soldagem;;;;;;;;;22/08/2019;30; R$ 1,719,597.43 
21473-4;Execução de estudos para avaliar a influência da água de reúso na corrosão de diferentes metalurgias dos sistemas de resfriamento de refinarias de petróleo;PETROBRAS;;PESQUISA APLICADA;Avaliação da corrosividade de águas de reúso oriundas de misturas de efluente industrial com diferentes percentuais de água clarificada. Pretende-se caracterizar o impacto econômico e a eficiência do tratamento químico à base de inibidores, biocidas e dispersantes na corrosão das diferentes metalurgias de sistemas de resfriamento de unidades industriais operando com essas misturas,quando expostas às sazonalidades de parametrizações físico-químicas impingidas pelos diferentes percentuais usados.;TEMAS TRANSVERSAIS;MATERIAIS;CORROSÃO E PROTEÇÃO;UFRJ - Laboratório de Corrosão e Proteção - LabCP ;;;;;;;;;22/08/2019;36; R$ 1,307,856.37 
21474-2;Pesquisa e Desenvolvimento em Otimização/Simulação de Processos (planejamento, programação, nivelamento e programação) aplicados à Cadeia de Suprimentos de Poços;PETROBRAS;;PESQUISA APLICADA;Desenvolvimento de plataforma integrada para a cadeia de suprimento de poços atuando desde a demanda até à aplicação/uso físico dos recursos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;PETROBRAS;;;;;;;;;07/06/2019;36; R$ 2,523,778.56 
21475-9;GeoBanD - Geomodelagem de zona de dano em falhas geológicas;PETROBRAS;;PESQUISA APLICADA;O projeto tem como objetivo principal estudar a evolução geológica de zonas de falhas utilizando uma abordagem baseada na modelagem em elementos finitos para incorporação em modelos geomecânicos e geológicos. Simulações numéricas deverão contribuir para compreender como diversos parâmetros (pressão confinante, rigidez da rocha, rejeito da falha, etc) influenciam diretamente na evolução desta região mais deformada (zona plastificada) que envolve as falhas sísmicas e sub-sísmicas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio;;;;;;;;;05/09/2019;24; R$ 3,997,041.81 
21476-7;Pesquisa e Desenvolvimento de Estrutura de Dados para o processamento de linguagem natural no contexto de Petróleo e Gás;PETROBRAS;;PESQUISA APLICADA;Desenvolvimento de uma ferramenta computacional dotada das principais técnicas de processamento de textos, permitindo seu uso prático na indústria de Petróleo & Gás. O principal benefício é a redução da intervenção humana na interpretação de documentos. O diferencial está na aplicabilidade em textos armazenados de forma não-estruturada (incluindo imagens) e o aperfeiçoamento das técnicas para processar o léxico tradicional da área de perfuração e abandono de poços.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;INTEGRIDADE DE EQUIPAMENTOS E INSTALAÇÕES;IPE - Laboratório de Desenvolvimento de Soluções de Visão Computacional e Realidade Aumentada;;;;;;;;;03/09/2019;36; R$ 3,111,485.24 
21477-5;Novos materiais adsorventes para remoção de contaminantes sulfurados;PETROBRAS;;PESQUISA BÁSICA;Obter MOFs capazes de adsorver compostos sulfurados em correntes de gás ácido que sejam resistentes à umidade e que tenham a capacidade de dessorver as moléculas e serem reutilizados.;ABASTECIMENTO;REFINO;SISTEMAS CATALÍTICOS;UFJF - Grupo de Físico-Química de Sólidos e Interfaces -GFQSI;;;;;;;;;05/09/2019;36; R$ 1,340,269.97 
21027-8;Projeto de infraestrutura laboratorial para aquisição de equipamentos para realização do estudo de emulsões e petróleos.;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;"Consolidar a infraestrutura do Núcleo de Competência em Química do Petróleo (NCQP) da Universidade Federal do Espírito Santo com a aquisição de equipamentos complementares que sirvam de suporte para atendimento da demanda do projeto de pesquisa denominado ""Estudo do efeito da acidez na qualidade dos petróleos e emulsões água-em-óleo na etapa do processamento primário"".";EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;CARACTERIZAÇÃO E PROCESSAMENTO DE FLUIDOS PRODUZIDOS;UFES - LabPetro;;;;;;;;0139/2019;05/09/2019;24; R$ 918,619.83 
21478-3;Metodologias Avançadas para Produção de Microalgas;PETROBRAS;;PESQUISA APLICADA;Obter novas tecnologias para aumento de produtividade em óleo e de coleta da biomassa de microalgas.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;EMISSÕES DE GASES DE EFEITO ESTUFA NA INDÚSTRIA DE PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS;PETROBRAS;;;;;;;;;13/06/2019;36; R$ 1,218,032.63 
21479-1;Robôs para Intervenção sem Sonda;PETROBRAS;;PESQUISA APLICADA;Desenvolver unidades robóticas para desobstrução de linhas flexíveis e de unidade para realizações de operações de lightworkover.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PERFURAÇÃO E COMPLETAÇÃO DE POÇOS;PETROBRAS;;;;;;;;;13/06/2019;60; R$ 5,137,242.24 
21480-9;Estudo de tecnologia para assistencia por bateria para atuadores elétricos;EQUINOR;;PESQUISA APLICADA;O projeto consiste na pesquisa e avaliação de tecnologias de baterias existentes para adaptação a fim de usá-las para aplicação em uma árvore de natal submarina. Faz também parte do projeto o mapeamento de riscos e o desenvolvimento de um plano de qualificação para os componentes que ainda não se encontram aptos a serem usados em um sistema submarino.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;ONESUBSEA DO BRASIL SERVICOS SUBMARINOS LTDA;EQUINOR;;;;;;;;14/06/2019;8; R$ 369,179.58 
21434-6;Projeto de Melhoria de Infraestrutura Laboratorial ¿ Equipamentos para ensaios de fluência, ensaios de inchamento e avaliação do potencial de formações argilosas e evaporíticas atuarem como barreira externa ao revestimento para o abandono de poços;SHELL;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;O objetivo principal deste projeto é fornecer ao Laboratório de Mecânica das Rochas do GTEP/PUC-Rio, infraestrutura complementar de forma a ampliar a capacidade do laboratório para o desenvolvimento das pesquisas em geomecânica aplicada à perfuração de poços em Bacias brasileiras, notadamente na determinação das propriedades mecânicas de rochas sedimentares que controlam o fechamento de poços durante a perfuração.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;MANUTENÇÃO E INSPEÇÃO - SEGURANÇA;PUC-Rio - Grupo de Tecnologia e Engenharia de Petroleo - GTEP;;;;;;;;0670/2019;13/09/2019;36; R$ 3,704,767.05 
21485-8;Produção integrada de biodiesel etílico a partir do óleo ácido proveniente de plantas de etanol de milho.;SINOCHEM;;PESQUISA APLICADA;Este projeto propõe agregar valor a uma planta de etanol de milho pela transformação do óleo de milho ácido em biodiesel etílico.;BIOCOMBUSTÍVEIS;BIODIESEL;PRODUÇÃO DE BIODIESEL;SINOCHEM;PUC-Rio - LABORATÓRIO DE ENGENHARIA VEICULAR;;;;;;;;01/07/2019;24; R$ 1,554,605.84 
21486-6;Estratégias Enzimáticas para Biocombustíveis Avançados;SINOCHEM;;PESQUISA BÁSICA;A proposta desse projeto é desenvolver estratégias enzimáticas para a produção de combustiveis avançados. Nesse contexto, o projeto tem dois principais objetivos.  O primeiro é desenvolver uma rota bioquímica para produzir hidrocarbonetos renováveis por meio da descoberta e customização de novas enzimas. O segundo objetivo é desenvolver uma plataforma microbiana altamente produtiva capaz de secretar altos teores de um coquetel de enzimas otimizado para a sacarificação do bagaço de cana.;BIOCOMBUSTÍVEIS;BIOCOMBUSTÍVEIS AVANÇADOS (2ª, 3ª, 4ª GERAÇÃO);PRODUÇÃO DE ENZIMAS;CNPEM - Laboratório Nacional de Ciência e Tecnologia do Bioetanol - CTBE;SINOCHEM;;;;;;;;28/06/2019;24; R$ 1,827,142.40 
21487-4;ETP- Propeno a partir de fonte renovável;SINOCHEM;;PESQUISA APLICADA;Determinar a formulação de um catalisador ativo, seletivo e estável para a síntese do propeno a partir do etanol em uma etapa, bem com obter as condições ótimas de operação deste sistema catalítico.;ABASTECIMENTO;PETROQUÍMICA DE 1ª E 2ª GERAÇÃO;MATÉRIAS-PRIMAS ALTERNATIVAS PARA PRODUÇÃO DE BÁSICOS E INTERMEDIÁRIOS;INT - Divisão de Catálise e Processos Químicos;SINOCHEM;;;;;;;;01/08/2019;36; R$ 1,765,770.05 
21490-8;Desenvolvimento de óleos base para biolubrificantes a partir de resíduo da produção de óleo de palma e alcoóis de origem renovável (n-butanol e glicerol);SINOCHEM;;PESQUISA APLICADA;Este projeto tem como objetivo o desenvolvimento de um processo para a obtenção óleos base para biolubrificantes por esterificação enzimática de resíduo do destilado de desodorização do óleo de palma (DDOP) com n-butanol de base biológica e glicerina residual da produção de biodiesel.;ABASTECIMENTO;COMBUSTÍVEIS E LUBRIFICANTES;LUBRIFICANTES E BIOLUBRIFICANTES;INT - Laboratório de Biocatálise - LABIC;SINOCHEM;;;;;;;;01/08/2019;24; R$ 1,358,443.09 
